DATA,0,0,0,0,0,0.00000,0,0,7297024,0
DATA,0,0,0,0,0,0.00000,0,0,7303936,0
DATA,0,0,0,0,0,0.00000,0,0,7311104,0
DATA,0,0,0,0,0,0.00000,0,0,7318528,0
DATA,0,0,0,0,0,0.00000,0,0,7325696,0
DATA,0,0,0,0,0,0.00000,0,0,7333120,0
RESULT failures=0 reads=7388416 errors=0 stale=1058 uninitialized=7346692 pio0_free=1 pio1_free=1
DATA,0,0,301,0,0,-0.00000,0,0,7388416,0
DATA,0,0,301,0,0,-0.00000,0,0,7395584,0
DATA,0,0,301,0,0,-0.00000,0,0,7402752,0
DATA,0,0,301,0,0,-0.00000,0,0,7410176,0
DATA,0,0,301,0,0,-0.00000,0,0,7417600,0
DATA,0,0,301,0,0,-0.00000,0,0,7424768,0
DATA,0,0,301,0,0,-0.00000,0,0,7432192,0
DATA,0,0,301,0,0,-0.00000,0,0,7439360,0
DATA,0,0,301,0,0,-0.00000,0,0,7446784,0
DATA,0,0,301,0,0,-0.00000,0,0,7454208,0
DATA,0,0,301,0,0,-0.00000,0,0,7461376,0
DATA,0,0,301,0,0,-0.00000,0,0,7468800,0
DATA,0,0,301,0,0,-0.00000,0,0,7475968,0
DATA,0,0,301,0,0,-0.00000,0,0,7483392,0
DATA,0,0,301,0,0,-0.00000,0,0,7490816,0
DATA,0,0,301,0,0,-0.00000,0,0,7497984,0
DATA,0,0,301,0,0,-0.00000,0,0,7505408,0
DATA,0,0,301,0,0,-0.00000,0,0,7512832,0
DATA,0,0,301,0,0,-0.00000,0,0,7520000,0
DATA,0,0,301,0,0,-0.00000,0,0,7527424,0
DATA,0,0,301,0,0,-0.00000,0,0,7534592,0
DATA,0,0,301,0,0,-0.00000,0,0,7542016,0
DATA,0,0,301,0,0,-0.00000,0,0,7549440,0
DATA,0,0,301,0,0,-0.00000,0,0,7556608,0
DATA,0,0,301,0,0,-0.00000,0,0,7564032,0
DATA,0,0,301,0,0,-0.00000,0,0,7571200,0
DATA,0,0,301,0,0,-0.00000,0,0,7578624,0
DATA,0,0,301,0,0,-0.00000,0,0,7586048,0
DATA,0,0,301,0,0,-0.00000,0,0,7593216,0
DATA,0,0,301,0,0,-0.00000,0,0,7600640,0
DATA,0,0,301,0,0,-0.00000,0,0,7607808,0
DATA,0,0,301,0,0,-0.00000,0,0,7615232,0
DATA,0,0,301,0,0,-0.00000,0,0,7622656,0
DATA,0,0,301,0,0,-0.00000,0,0,7629824,0
DATA,0,0,301,0,0,-0.00000,0,0,7637248,0
DATA,0,0,301,0,0,-0.00000,0,0,7644416,0
DATA,0,0,301,0,0,-0.00000,0,0,7651840,0
DATA,0,0,301,0,0,-0.00000,0,0,7659264,0
DATA,0,0,301,0,0,-0.00000,0,0,7666432,0
DATA,0,0,301,0,0,-0.00000,0,0,7673856,0
